City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Outjo,NA,2022-10-01 17:49:51,-20.1167,16.15,301.18,15,41,3.3,scattered clouds
60,Laguna,US,2022-10-01 17:45:59,38.421,-121.4238,302.6,59,0,2.57,clear sky
61,Ornskoldsvik,SE,2022-10-01 17:49:51,63.2909,18.7153,282.68,100,100,3.6,overcast clouds
62,Aripuana,BR,2022-10-01 17:49:52,-9.1667,-60.6333,310.81,28,42,1.67,scattered clouds
63,Codrington,AU,2022-10-01 17:49:52,-38.2667,141.9667,280.83,89,0,2.14,clear sky
64,Sao Jose Da Coroa Grande,BR,2022-10-01 17:49:53,-8.8978,-35.1478,299.57,63,18,5.07,few clouds
65,Jamestown,US,2022-10-01 17:49:53,42.097,-79.2353,289.23,52,0,5.14,clear sky
66,Khash,IR,2022-10-01 17:49:54,28.2211,61.2158,294.67,16,0,4.32,clear sky
67,Trairi,BR,2022-10-01 17:44:59,-3.2778,-39.2689,302.07,56,33,7.23,scattered clouds
68,Najran,SA,2022-10-01 17:49:55,17.4924,44.1277,300.51,16,2,1.5,clear sky
69,Mahibadhoo,MV,2022-10-01 17:49:55,3.7833,72.9667,300.96,77,95,8.27,overcast clouds
70,Artvin,TR,2022-10-01 17:49:55,41.1667,41.8333,289.27,67,0,0.58,clear sky
71,Victoria,HK,2022-10-01 17:49:56,22.2855,114.1577,301.66,88,66,4.92,broken clouds
72,Saint George,US,2022-10-01 17:49:57,37.1041,-113.5841,300.61,27,0,3.09,clear sky
73,Yar-Sale,RU,2022-10-01 17:49:57,66.8333,70.8333,273.52,71,89,6.1,overcast clouds
74,Luderitz,NA,2022-10-01 17:49:57,-26.6481,15.1594,288.95,76,0,5.08,clear sky
75,Royan,FR,2022-10-01 17:49:58,45.6285,-1.0281,291.39,91,100,5.9,overcast clouds
76,Berlevag,NO,2022-10-01 17:49:58,70.8578,29.0864,278.12,87,100,3.09,overcast clouds
77,Nanortalik,GL,2022-10-01 17:49:59,60.1432,-45.2371,277.9,80,93,1.14,overcast clouds
78,Usinsk,RU,2022-10-01 17:49:59,65.9939,57.5281,276.16,94,100,8.33,overcast clouds
79,Mastic Beach,US,2022-10-01 17:49:39,40.7668,-72.8521,289.32,96,100,7.15,mist
80,Buenos Aires,AR,2022-10-01 17:47:00,-34.6132,-58.3772,297.58,44,45,3.0,scattered clouds
81,Olinda,BR,2022-10-01 17:50:00,-8.0089,-34.8553,301.0,61,40,5.66,scattered clouds
82,Ilulissat,GL,2022-10-01 17:50:01,69.2167,-51.1,272.34,69,30,0.52,scattered clouds
83,Caucaia,BR,2022-10-01 17:47:17,-3.7361,-38.6531,303.12,71,0,7.72,clear sky
84,Saint-Augustin,CA,2022-10-01 17:50:01,51.226,-58.6502,284.13,33,26,7.49,scattered clouds
85,Andenes,NO,2022-10-01 17:50:02,69.3143,16.1194,279.22,75,0,3.09,clear sky
86,Ribeira Grande,PT,2022-10-01 17:50:02,38.5167,-28.7,296.37,78,75,8.75,broken clouds
87,Kochubey,RU,2022-10-01 17:50:03,44.3861,46.5825,293.38,56,40,3.92,scattered clouds
88,Bara,NG,2022-10-01 17:50:03,10.3744,10.7288,299.84,68,24,4.14,light rain
89,Bathsheba,BB,2022-10-01 17:50:04,13.2167,-59.5167,304.49,70,40,6.17,scattered clouds
90,Sardhana,IN,2022-10-01 17:50:05,29.15,77.6167,299.14,68,0,0.52,clear sky
91,Sokoni,TZ,2022-10-01 17:50:05,-6.4333,39.55,299.07,75,4,6.14,clear sky
92,Bengkulu,ID,2022-10-01 17:51:07,-3.8004,102.2655,297.18,95,98,2.09,light rain
93,Raudeberg,NO,2022-10-01 17:51:08,61.9875,5.1352,284.74,58,43,6.54,scattered clouds
94,Menzelinsk,RU,2022-10-01 17:51:09,55.7271,53.1026,281.99,67,98,3.43,overcast clouds
95,Lebu,CL,2022-10-01 17:51:11,-37.6167,-73.65,287.12,70,9,5.85,clear sky
96,Coquimbo,CL,2022-10-01 17:48:11,-29.9533,-71.3436,286.0,94,100,2.57,overcast clouds
97,Marawi,PH,2022-10-01 17:51:11,7.9986,124.2928,293.51,95,97,0.55,overcast clouds
98,Maues,BR,2022-10-01 17:51:12,-3.3836,-57.7186,308.27,37,97,0.61,overcast clouds
99,Caibarien,CU,2022-10-01 17:51:12,22.5206,-79.4669,301.2,73,73,4.97,broken clouds
100,Kruisfontein,ZA,2022-10-01 17:51:13,-34.0033,24.7314,288.64,80,59,0.77,broken clouds
101,Brovst,DK,2022-10-01 17:51:13,57.0956,9.528,284.8,93,75,3.09,broken clouds
102,Jacareacanga,BR,2022-10-01 17:51:14,-6.2222,-57.7528,310.61,30,87,1.41,light rain
103,Diffa,NE,2022-10-01 17:51:15,13.3154,12.6113,307.13,30,2,5.96,clear sky
104,Axim,GH,2022-10-01 17:51:15,4.8699,-2.2405,297.75,87,47,4.16,scattered clouds
105,Ushtobe,KZ,2022-10-01 17:51:15,45.2514,77.9838,275.8,32,0,6.94,clear sky
106,Lusambo,CD,2022-10-01 17:51:16,-4.9667,23.45,295.51,86,81,1.41,light rain
107,Tall Kayf,TR,2022-10-01 17:51:16,37.0833,41.0667,301.44,17,0,3.27,clear sky
108,Korla,CN,2022-10-01 17:51:17,41.7597,86.1469,285.48,31,100,5.1,overcast clouds
109,Tallahassee,US,2022-10-01 17:49:36,30.4383,-84.2807,302.26,47,20,6.17,few clouds
110,Darfo,IT,2022-10-01 17:51:18,45.8779,10.1812,290.9,91,39,2.0,scattered clouds
111,Murgab,TM,2022-10-01 17:51:18,37.4966,61.9714,292.08,42,0,2.06,clear sky
112,Kempele,FI,2022-10-01 17:51:18,64.9131,25.5034,276.16,87,0,3.6,clear sky
113,Kismayo,SO,2022-10-01 17:51:19,-0.3582,42.5454,297.81,79,3,6.76,clear sky
114,Qaqortoq,GL,2022-10-01 17:51:19,60.7167,-46.0333,276.59,95,100,2.43,light rain
115,Folkestone,GB,2022-10-01 17:51:20,51.0833,1.1833,290.0,88,48,3.58,scattered clouds
116,Praia Da Vitoria,PT,2022-10-01 17:48:24,38.7333,-27.0667,297.29,73,20,8.03,few clouds
117,Marquette,US,2022-10-01 17:51:22,46.5333,-87.6335,288.17,80,32,4.12,scattered clouds
118,Dikson,RU,2022-10-01 17:51:23,73.5069,80.5464,274.26,99,100,6.35,overcast clouds
119,Trincomalee,LK,2022-10-01 17:51:23,8.5711,81.2335,300.26,78,63,8.13,broken clouds
120,Rock Sound,BS,2022-10-01 17:51:24,24.9,-76.2,300.93,74,16,4.36,moderate rain
121,Clyde River,CA,2022-10-01 17:51:24,70.4692,-68.5914,273.28,74,100,6.69,overcast clouds
122,Los Llanos De Aridane,ES,2022-10-01 17:51:24,28.6585,-17.9182,295.01,73,75,5.66,broken clouds
123,Elat,IL,2022-10-01 17:51:25,29.5581,34.9482,308.06,21,0,5.14,clear sky
124,Mehamn,NO,2022-10-01 17:51:25,71.0357,27.8492,277.89,80,93,2.03,overcast clouds
125,The Valley,AI,2022-10-01 17:50:06,18.217,-63.0578,303.61,84,40,4.12,scattered clouds
126,Akdepe,TM,2022-10-01 17:51:26,42.0551,59.3788,288.2,19,27,6.35,scattered clouds
127,Vardo,NO,2022-10-01 17:51:26,70.3705,31.1107,277.04,74,95,1.77,overcast clouds
128,Acarau,BR,2022-10-01 17:51:27,-2.8856,-40.12,302.73,58,24,9.25,few clouds
129,Tasiilaq,GL,2022-10-01 17:51:27,65.6145,-37.6368,275.88,98,100,2.34,light rain
130,Trelew,AR,2022-10-01 17:51:28,-43.249,-65.3051,293.12,21,9,4.44,clear sky
131,Llanelli,GB,2022-10-01 17:51:28,51.682,-4.1619,289.09,84,75,7.72,broken clouds
132,Pangnirtung,CA,2022-10-01 17:51:29,66.1451,-65.7125,275.15,75,75,2.57,broken clouds
133,Xacmaz,AZ,2022-10-01 17:51:29,41.4635,48.806,292.15,58,13,1.77,few clouds
134,Belmonte,BR,2022-10-01 17:51:30,-15.8631,-38.8828,298.02,73,74,4.42,broken clouds
135,Nuuk,GL,2022-10-01 17:50:27,64.1835,-51.7216,275.37,56,49,1.48,scattered clouds
136,Ponta Do Sol,PT,2022-10-01 17:51:30,32.6667,-17.1,296.5,70,79,1.35,broken clouds
137,Itanhem,BR,2022-10-01 17:51:31,-17.1664,-40.33,303.8,39,50,4.35,scattered clouds
138,Porto Santo,PT,2022-10-01 17:51:31,33.072,-16.3415,295.36,68,40,6.69,scattered clouds
